Condition;Aslow;Afast;Dslow;Dfast
Rho;0.46;0.54;-2.33;-0.57
Rho;0.38;0.62;-2.28;-0.6
Rho;0.35;0.66;-1.8;-0.47
Rho;0.39;0.62;-1.84;-0.48
Rho Rif;0.32;0.68;-2.33;-0.48
Rho Rif;0.17;0.81;-2.21;-0.37
Rho Rif;0.36;0.62;-2.28;-0.41
Rho Rif;0.46;0.52;-2.38;-0.5
Rho Rif;0.45;0.54;-2.24;-0.51
Rho BCM;0.79;0.2;-2.3;-0.79
Rho BCM;0.87;0.11;-2.33;-0.92
RNAP;0.66;0.33;-2;-0.77
RNAP;0.58;0.41;-2.11;-0.75
RNAP;0.76;0.22;-2.08;-0.73
RNAP;0.72;0.26;-2.04;-0.71
RNAP Rif;0.51;0.47;-1.93;-0.58
RNAP Rif;0.49;0.49;-2.01;-0.53
RNAP Rif;0.48;0.54;-1.85;-0.58
RNAP Rif;0.52;0.47;-1.94;-0.56
RNAP BCM;0.83;0.15;-2.71;-1.29
RNAP BCM;0.89;0.1;-2.7;-1.3
